City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
139,Norman Wells,CA,65.282,-126.8329,24.84,42,0,2.3,clear sky,4/20/2022 18:42
140,Castro,BR,-24.7911,-50.0119,72.3,51,0,4.21,clear sky,4/20/2022 18:43
141,Roald,NO,62.5833,6.1333,54.52,87,0,11.5,clear sky,4/20/2022 18:40
142,Mugan,CN,35.9404,101.3842,46.42,13,80,4.38,broken clouds,4/20/2022 18:43
143,Fortuna,US,40.5982,-124.1573,54.66,91,75,18.41,light rain,4/20/2022 18:43
144,Imeni Babushkina,RU,59.7573,43.1285,37.99,97,100,6.76,overcast clouds,4/20/2022 18:43
145,Sitka,US,57.0531,-135.33,48.09,57,40,4.61,scattered clouds,4/20/2022 18:43
146,Camacha,PT,33.0833,-16.3333,58.42,67,75,18.41,broken clouds,4/20/2022 18:41
147,Anton Lizardo,MX,19.05,-95.9833,92.21,64,0,13.49,clear sky,4/20/2022 18:43
148,Corinto,GR,37.9407,22.9573,60.42,71,1,5.99,clear sky,4/20/2022 18:43
149,Iberia,US,29.9502,-91.7507,78.8,57,40,23.02,scattered clouds,4/20/2022 18:43
150,Narsaq,GL,60.9167,-46.05,37.62,43,65,1.25,broken clouds,4/20/2022 18:43
151,East London,ZA,-33.0153,27.9116,70.74,83,0,8.05,clear sky,4/20/2022 18:40
152,Itarema,BR,-2.9248,-39.9167,81.82,82,91,12.03,overcast clouds,4/20/2022 18:43
153,Nassau,US,40.7507,-73.5829,59.67,34,0,8.05,clear sky,4/20/2022 18:43
154,Lata,PT,40.1629,-8.3327,51.06,73,6,11.68,clear sky,4/20/2022 18:41
155,Port Shepstone,ZA,-30.7414,30.455,67.95,84,0,15.95,clear sky,4/20/2022 18:42
156,Hulin,CZ,49.3169,17.4637,48.15,49,100,4,overcast clouds,4/20/2022 18:43
157,Kodiak,US,57.79,-152.4072,40.51,75,0,4.61,clear sky,4/20/2022 18:43
158,Shahr-E Babak,IR,30.1165,55.1186,65.41,10,6,5.82,clear sky,4/20/2022 18:43
159,Prince Albert,CA,53.2001,-105.7677,31.95,80,100,20.71,overcast clouds,4/20/2022 18:38
160,Flinders,AU,-34.5833,150.8552,58.05,80,0,1.99,clear sky,4/20/2022 18:41
161,Tecoanapa,MX,16.5167,-98.75,88.45,49,0,11.3,clear sky,4/20/2022 18:43
162,Russell,US,32.3502,-85.1999,75.11,31,0,12.66,clear sky,4/20/2022 18:43
163,Astoria,US,46.1879,-123.8313,45.86,76,100,18.41,overcast clouds,4/20/2022 18:43
164,Avarua,CK,-21.2078,-159.775,77.05,65,20,9.22,few clouds,4/20/2022 18:39
165,Severo-Yeniseyskiy,RU,60.3725,93.0408,18.01,98,100,3.24,overcast clouds,4/20/2022 18:43
166,Chute-Aux-Outardes,CA,49.1168,-68.399,40.98,56,100,18.41,overcast clouds,4/20/2022 18:43
167,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,78,75,16.11,broken clouds,4/20/2022 18:43
168,Pevek,RU,69.7008,170.3133,14.36,87,100,2.35,overcast clouds,4/20/2022 18:43
169,Kamenka,RU,51.3223,42.7678,52.84,90,78,13.96,broken clouds,4/20/2022 18:43
170,Port-Gentil,GA,-0.7193,8.7815,80.56,89,20,2.3,few clouds,4/20/2022 18:43
171,Yulara,AU,-25.2406,130.9889,62.44,34,87,9.22,overcast clouds,4/20/2022 18:43
172,Sobolevo,RU,54.4299,31.8996,47.1,78,100,16.71,light rain,4/20/2022 18:43
173,Hobart,AU,-42.8794,147.3294,49.86,70,6,1.14,clear sky,4/20/2022 18:43
174,Hammerfest,NO,70.6634,23.6821,41.45,70,0,0,clear sky,4/20/2022 18:43
175,Hays,US,30.0502,-98.0336,81.99,39,21,20.71,few clouds,4/20/2022 18:43
176,Noumea,NC,-22.2763,166.4572,75.99,99,53,2.73,broken clouds,4/20/2022 18:41
177,Inhambane,MZ,-23.865,35.3833,75.18,88,75,4.61,broken clouds,4/20/2022 18:43
178,Alofi,NU,-19.0595,-169.9187,75.09,94,85,4.61,overcast clouds,4/20/2022 18:43
179,Loknya,RU,56.83,30.1467,47.98,69,1,11.99,clear sky,4/20/2022 18:43
180,Saint George,US,37.1041,-113.5841,77.43,20,0,4,clear sky,4/20/2022 18:43
181,Blagoveshchenka,RU,52.8333,79.8667,41.31,83,100,6.71,overcast clouds,4/20/2022 18:43
182,Ilulissat,GL,69.2167,-51.1,15.82,45,0,6.91,clear sky,4/20/2022 18:40
183,Mehamn,NO,71.0357,27.8492,40.91,93,82,6.44,broken clouds,4/20/2022 18:43
184,Manokwari,ID,-0.8667,134.0833,78.33,81,78,3.11,broken clouds,4/20/2022 18:43
185,Tukrah,LY,32.5341,20.5791,60.4,65,98,6.73,overcast clouds,4/20/2022 18:43
186,Saqqez,IR,36.2499,46.2735,55.4,52,100,4.63,overcast clouds,4/20/2022 18:43
187,Cidreira,BR,-30.1811,-50.2056,70.84,67,0,7.7,clear sky,4/20/2022 18:43
188,San Fernando,PH,15.0286,120.6898,80.33,81,9,4.27,clear sky,4/20/2022 18:43
189,Pisco,PE,-13.7,-76.2167,75.25,64,0,18.41,clear sky,4/20/2022 18:43
190,Nabire,ID,-3.3667,135.4833,77.4,93,100,2.66,overcast clouds,4/20/2022 18:43
191,Murgab,TM,37.4966,61.9714,62.47,77,0,6.91,clear sky,4/20/2022 18:43
192,Whitefish,US,48.4111,-114.3376,47.5,50,75,3.44,broken clouds,4/20/2022 18:43
193,Touros,BR,-5.1989,-35.4608,83.82,68,100,13.27,overcast clouds,4/20/2022 18:43
194,Hargeysa,SO,9.56,44.065,73.38,73,16,7.63,light rain,4/20/2022 18:43
195,Maumere,ID,-8.6199,122.2111,79.72,83,85,7.09,overcast clouds,4/20/2022 18:43
196,Maracaibo,VE,10.6317,-71.6406,83.19,69,100,2.62,overcast clouds,4/20/2022 18:42
197,Poya,NC,-21.35,165.15,73.08,83,37,5.46,scattered clouds,4/20/2022 18:43
198,Ewa Beach,US,21.3156,-158.0072,76.42,69,40,11.5,scattered clouds,4/20/2022 18:41
199,Adrar,MR,20.5022,-10.0711,89.56,14,39,9.17,scattered clouds,4/20/2022 18:43
200,Makakilo City,US,21.3469,-158.0858,75,69,0,11.5,clear sky,4/20/2022 18:43
201,Toamasina,MG,-18.1667,49.3833,77,94,75,8.05,broken clouds,4/20/2022 18:43
